Annual accounts for 2017	Comptes anuals 2017
The value of the provisions recorded is the nominal value it is expected will be required in the future to settle the obligations. They have not been valued at their current value as the financial effect of discounting them is not significant.	El valor de les provisions registrades es correspon amb el valor nominal que s'espera que sigui necessari en el futur per liquidar les obligacions, per tant, no han estat valorades a valor actual ja que l'efecte financer del seu descompte no resulta significatiu.
a) Provision for consortium	a) Provisió consorcis
This provision records the existing risk, according to the City Council's share, in the consortium that present a negative net equity in their annual accounts.	Aquesta provisió recull, en funció de la participació de l'Ajuntament, el risc existent en aquells consorcis que presenten un patrimoni net negatiu en els seus comptes anuals.
The implementation of this provision in the financial year 2017 for the amount of €5,854,531.50 reflects the fact that the profit and loss corresponding to six consortia enabled their net equity to be rebalanced.	L'aplicació d'aquesta provisió en l'exercici 2017 per import de 5.854.531,50 euros correspon al fet que els resultats econòmics corresponents a sis consorcis han permès reequilibrar el seu patrimoni net.
b) Interest compliance TSJC judgement 632/2013	b) Interessos compliment sentència 632/2013 TSJC
The City Council's compliance with judgement 632/2013 of the Supreme Court of Justice of Catalonia, in the financial year 2016, meant it was forced to increase civil servants' salaries for 2017 and 2018.	A l'exercici 2016, l'Ajuntament va donar compliment a allò que disposava la sentència 632/2013 del Tribunal Superior de Justícia de Catalunya que obligava a incrementar la massa salarial dels funcionaris per als anys 2007 i 2008.
Judgement 528/2017 of 12 September 2017 upheld an appeal that recognised the	La sentència 528/2017 de 12 de setembre de 2017 va estimar un recurs d'apel·lació on es reconeixia el dret a percebre interessos per les quantitats abonades en virtut de la sentència 632/2013.
right to receive interest on the amounts paid by virtue of judgement 632/2013.	L'Ajuntament ha presentat recurs de cassació però, davant la possibilitat de no
The City Council has applied for a judicial review but, given the possibility of it not being admitted or of an unfavourable judgement, Human Resources have estimated that complying with such a judgement would cost €10 million.	admissió o de sentència desfavorable, la Gerència de Recursos Humans ha estimat que el compliment d'aquesta segona sentència tindria un cost estimat de 10 milions d'euros.
16.1. Contingent liabilities.	16.1. Passius contingents
Constitutional Court judgement (STC) 59/2017 of 11 May, declared unconstitutional and null and void articles 107.1, 107.2(a) and 110.4 of the Consolidated Text of the Local Tax Authorities Act (TRLRHL), approved by Royal Legislative Decree (RDL) 2/2004 of 5 March, inasmuch as they submit situations where there has been no increase in value to the tax on the increase in value of urban land.	
The judgement itself states that “determining the existence or not of an increase	La STC 59/2017 d'11 de maig, va declarar inconstitucionals i nuls els arts. 107.1,
liable to taxation is something that corresponds solely to the legislator with	107.2.a) i 110.4 del TRLHL, aprovat pel RDL 2/2004, de 5 de març, en la mesura en
its freedom to shape legislation following the publication of this judgement, implementing the pertinent modifications or adaptations to the legal framework	què sotmeten a tributació situacions d'inexistència d'increments de valor en relació a l'impost sobre l'increment de valor dels terrenys de naturalesa urbana.
of the tax that make it possible to arbitrate instances in which taxation situations	La pròpia sentència declara que “la forma de determinar la existencia o no
where there is no increase in the value of urban land are not submitted”.	de un incremento susceptible de ser sometido a tributación es algo que solo
Despite the time that has elapsed since the aforementioned judgement was issued, it was only on 9 March 2018 that it entered the Congress of Deputies following the publication in the Official Gazette of the Spanish Parliament (BOCG) of a Bill to	corresponde al legislador, en su libertad de configuración normativa, a partir de la publicación de esta Sentencia, llevando a cabo las modificaciones o adaptaciones pertinentes en el régimen legal del impuesto que permitan arbitrar el modo de no someter a tributación las situaciones de inexistencia de incremento de valor de los terrenos de naturaleza urbana”.
modify the Consolidated Text of the Local Tax Authorities Act, approved by RDL	No ha estat fins al passat 9 de març de 2018, malgrat el temps transcorregut des de l'esmentada sentència del TC, que ha entrat en el Congrés dels Diputats, mitjançant la publicació al Butlletí Oficial de les Corts Generals de la Proposició de Llei per la
2/2004 of 5 March, and other tax regulations, in order to bring the text of local tax authority legislation in line with the Constitutional Court's pronouncement.	que se modifica el text refós de la Llei reguladora de les hisendes locals, aprovat per RDL 2/2004, de 5 de març, i altres normes tributàries, als efectes d'adequar el text de la legislació d'hisendes locals al pronunciament de l'Alt Tribunal.
Given that no legislation had been passed when these annual accounts were drawn up, no provision has been recorded, as the amount cannot be reliably estimated until a valid text has been approved.	Donat què a la data de formulació d'aquests comptes anuals encara no s'ha
Likewise, at the close of the financial year, the City Council was in the middle of	aprovat cap llei , no s'ha registrat cap provisió atenent a què el seu import no pot
legal proceedings, described as being at possible risk, at the courts and tribunals.	ser valorat de forma fiable fins que no es disposi d'un text vàlidament aprovat .
One case that should be mentioned is a claim under the heading of financial	Així mateix, a la data de tancament de l'exercici, l'Ajuntament té assumptes
liability which originated from an order to cease activity being carried out by a	contenciosos en tramitació als jutjats i tribunals que es qualifiquen amb risc
company as it differed from the authorised activity.	possible, d'entre els quals cal fer esment a un assumpte on es reclama en concepte de responsabilitat patrimonial i que té el seu origen en un ordre de cessament de l'activitat desenvolupada per una empresa al portar a terme una activitat diferent a l'autoritzada.
There are three matters where there is a probable risk but it has not been possible to quantify the cost of the judgement in these cases. These matters relate to a works permit for the construction of two single-family dwellings and two works permits for the construction of two hotel establishments.	Existeixen tres assumptes amb risc probable però sobre els quals no ha estat possible dur a terme una quantificació del cost de la sentència. Aquests assumptes corresponen a una llicència d'obres per a la construcció de dos habitatges unifamiliars i a dues llicències d'obres per la construcció de dos establiments hotelers.
16.2. Contingent assets.	16.2. Actius contingents
At the close of the financial year, the City Council had no contingent assets	A la data de tancament de l'exercici, l'Ajuntament no té actius de naturalesa
regarding which information must be given in the annual report.	contingent dels que calgui informar en la memòria.
17. Information on the environment	17. Informació sobre el medi ambient
The City Council recorded the following obligations charged to the programmes of expenditure policy 17 “Environment”:	L'Ajuntament ha registrat les següents obligacions amb càrrec als programes de la política de despesa 17 “Medi ambient”:
18. Assets under sale	18. Actius en estat de venda
On the closing date, the City Council did not keep fixed assets in the balance sheet where the accounting value thereof had to be recovered through sale.	A la data de tancament, l'Ajuntament no manté en balanç actius no corrents el valor comptable dels quals hagi de recuperar-se a través de la seva venda.
19. Presentation of the income and expenditure account by activity	19. Presentació per activitats del compte del resultat econòmic-patrimonial
Barcelona City Council's Income and Expenditure Account, classed by activity, is as follows:	El compte de resultats econòmic patrimonial de l'Ajuntament de Barcelona classificat per activitats és com segueix:
The following rules have been taken into account for its drafting:	Per a la seva elaboració s'han tingut en compte les normes següents:
a) Income: classification of total income in the categories of day-to-day management income, financial and other income.	a) Ingressos: classificació dels ingressos totals en les categories d'ingressos de gestió ordinària, ingressos financers i altres ingressos.
b) Expenditure: the budgetary expenses set out in chapters 1 to 5 of the City	b) Despeses: les despeses pressupostàries recollides als capítols 1 a 5 del
Council's current expenditure budget, classed by expenditure policy. The other expenses in the Income and Expenditure Account, distributed among the various expenditure policies in the proportion that each policy represents of the total expenditure budget.	pressupost des despeses corrents de l'Ajuntament, classificades per política de despesa. La resta de despeses del compte de resultats econòmic patrimonial, distribuïdes en les diferents polítiques de despesa en la proporció que, sobre la despesa total pressupostària, suposa cada una de les polítiques de despesa.
20. Resource administration receivables on behalf of other public bodies	20. Operacions per administració de recursos per compte d'altres ens públics
The amount included in the assets side of the balance sheet refers to entitlements pending collection from third parties regarding the development of the resource administration management payable by other public bodies (Note 20.3 a).	El saldo inclòs a l'actiu del balanç fa referència als drets pendent de cobrar del
The amount included in the liabilities side of the balance sheet is that from Note	tercer en relació al desenvolupament de la gestió d'administració de recursos per
20.3 a) - as these entitlements, still pending, will have to be delivered to the	compte d'altres ens públics (nota 20.3 a).
organisation through which the administration is carried out - plus the balance	El saldo inclòs al passiu del balanç és l'import de la nota 20.3 a) -ja que aquests
of the amounts already collected from third parties but pending delivery to the	drets pendent de cobrar hauran de lliurar-se a l'ens pel qual es fa l'administració-
organisation through which the administration is made, and reflected in Note 20.1.	més el saldo dels imports ja recaptats del tercer però pendents de lliurar a l'ens pel qual es fa l'administració, i reflectits a la nota 20.1.
20.1. Management-derived debentures	20.1. Obligacions derivades de la gestió
20.2. Public bodies, current cash accounts	20.2. Ens públics, comptes corrents en efectiu
The City Council does not use such accounts as cash deliveries are not made to the final settlement account.	L'Ajuntament no utilitza aquests comptes ja que no es realitzen lliuraments d'efectiu a compte de la liquidació definitiva.
20.3. Management development	20.3. Desenvolupament de la gestió
a) Summary	a) Resum
b) Revoked collection rights	b) Drets anul·lats
c) Cancelled collection rights	c) Drets cancel·lats d) Devolució d'ingressos
21. Non-budgetary liquid asset transactions	21. Operacions no pressupostàries de tresoreria
Information is given below on the non-budgetary liquid asset transactions included in these transactions made over the financial year which led to the creation or extinction of:	A continuació s'informa sobre les operacions no pressupostàries de tresoreria que comprenen aquelles operacions realitzades durant l'exercici que han donat lloc al naixement o extinció de:
• Receivables and liabilities under the current rules for the City Council that do not have to be allocated to its budget either at the time of their creation or maturity.	• Deutors i creditors que, d'acord amb la normativa vigent per a l'Ajuntament, no s'hagin d'imputar al seu pressupost, ni en el moment del seu naixement ni en el del seu venciment.
• Items representing collections and payments pending final application, for both budgetary and non-budgetary transactions.	• Partides representatives de cobraments i pagaments pendents d'aplicació definitiva, tant per operacions pressupostàries com no pressupostàries.
21.1. Non-budgetary receivables statement.	21.1. Estat de deutors no pressupostaris
21.2. Non-budgetary liabilities statement	21.2. Estat de creditors no pressupostaris
21.3. Statement of items pending application a) Collections pending application	21.3. Estat de partides pendents d'aplicació a) Cobraments pendents d'aplicació
b) Payments pending application	b) Pagaments pendents d'aplicació
At the close of the financial year, the City Council had no payments pending application.	Al tancament de l'exercici l'Ajuntament no té pagaments pendents d'aplicació.
22. Administrative procurement. Awarding procedures	22. Contractació administrativa. Procediments d'adjudicació
The aggregate amounts of administrative procurement during the financial year, according to the awarding procedure, are shown below.	A continuació es detallen els imports agregats de les contractacions administratives realitzades en l'exercici en funció del seu procediment d'adjudicació.
23. Securities received on deposit	23. Valors rebuts en dipòsit
24. Budget information	24. Informació pressupostària
24.1. Current financial year	24.1. Exercici corrent
24.1.1. Expenditure budget a) Credit amendments	24.1.1. Pressupost de despeses a) Modificacions de crèdit
b) Credit surpluses	b) Romanents de crèdit
c) Liabilities for transactions pending application to the budget	c) Creditors per operacions pendents d'aplicar al pressupost
The City Council does not have any payable transactions yet to be applied to the budget.	L'Ajuntament no té operacions creditores pendents d'aplicar al pressupost.
24.1.2. Income budget	24.1.2. Pressupost d'ingressos
a) Management process a1) Revoked collection rights	a) Procés de gestió a1) Drets anul·lats
a2) Revoked collection rights	a2) Drets cancel·lats
a3) Net collection	a3) Recaptació neta
b) Returned income	b) Devolucions d'ingressos
c) Committed income	c) Compromisos d'ingrés
24.2. Closed financial years	24.2. Exercicis tancats
24.2.1. Expenditure budget Closed budget debentures	24.2.1. Pressupost de despeses. Obligacions de pressupostos tancats
24.2.2. Income budget. Entitlements pending collection from closed budgets a) Total entitlements pending collection	24.2.2. Pressupost d'ingressos. Drets a cobrar de pressupostos tancats a) Drets pendents de cobrament totals
b) Revoked collection rights	b) Drets anul·lats
c) Cancelled collection rights	b) Drets cancel·lats
24.2.3. Variation of results	24.2.3. Variació de resultats
24.3. Subsequent financial years	24.3. Exercicis posteriors
24.3.1. Committed expenditure charged to budgets of subsequent financial years	24.3.1. Compromisos de despesa amb càrrec a pressupostos d'exercicis posteriors
24.3.2. Committed income charged to budgets of subsequent financial years	24.3.2. Compromisos d'ingrés amb càrrec a pressupostos d'exercicis posteriors
24.4. Expenditure with allocated funding	24.4. Despeses amb finançament afectat
24.5. Treasury surplus	24.5. Romanent de tresoreria
The treasury surplus statement resulting from the financial year budget settlement and those of previous financial years is as follows:	L'estat del romanent de tresoreria que resulta de la liquidació del pressupost de l'exercici i de pressupostos d'exercicis anteriors és el següent:
25. Financial, equity and budget indicators	25. Indicadors financers, patrimonials i pressupostaris
a) Financial and equity indicators	a) Indicadors financers i patrimonials
• Immediate liquidity:	• Liquiditat immediata:
Liquid funds	Fons líquids
= 0.88	= 0,88
Current habilities	Passiu corrent
• Short-term liquidity:	• Liquiditat a curt termini:
Liquid funds + Entitlements pending collection	Fons líquids+ Drets pendents de cobrament
--------------------------------------------------= 1.61	------------------------------------------- = 1,61
Current liabilities	Passiu corrent
• General liquidity:	• Liquiditat general:
Current assets	Actiu corrent
= 1.10	= 1,10
Current liabilities	Passiu corrent
• Debt per resident:	• Endeutament per habitant:
Liabilities	Passiu
----------------------= 1,480.51 euros	------------------- = 1.480,51 euros
Number of residents	Nombre d'habitants
• Debt:	• Endeutament:
Liabilities	Passiu
= 0.17	= 0,17
Liabilities + Net equity	Passiu + Patrimoni net
• Debt ratio:	• Relació d'endeutament:
Current liabilities	Passiu corrent
= 0.65	= 0,65
Fixed liabilities	Passiu no corrent
• Cash flow:	• Flux de caixa:
Liabilities	Passiu
= 6.58	= 6,58
Net management flows	Fluxos nets de gestió
• Average payment period to commercial liabilities: 28.5 days. • Average collection period: 26.9 days.	• Període mig de pagament a creditors comercials: 28,5 dies. • Període mig de cobrament: 26,9 dies.
• Income and Expenditure Account ratios	• Ràtios del compte del resultat econòmic-patrimonial
• Income structure	Estructura dels ingressos
• Expenditure structure	• Estructura de les despeses
• Coverage of current expenses: highlights the existing relationship between day-to-day management expenditure and income.	• Cobertura de les despeses corrents: posa de manifest la relació existent entre les despeses de gestió ordinària i els ingressos de la mateixa naturalesa.
Day to day management expenses	Despeses de gestió ordinària
= 90.27%	= 90,27%
Day to day management income	Ingressos de gestió ordinària
b) Budget indicators	b) Indicadors pressupostaris
For the current expenditure budget:	Del pressupost de despeses corrent:
• Implementation of the expenditure budget:	• Execució del pressupost de despeses:
Recognised net debentures	Obligacions reconegudes netes
------------------------ = 96.58%	------------------------------ = 96,58%
Final credits	Crèdits definitius
• Payments made:	• Realització de pagaments:
Payments made	Pagaments efectuats
------------------------ = 78.71%	------------------------------ = 78,71%
Recognised net debentures	Obligacions reconegudes netes
• Expenditure per resident:	• Despesa per habitant:
Recognised net debetures	Obligacions reconegudes netes
------------------------= 1,648.61 euros	------------------------------ = 1.648,61 euros
Number of residents	Nombre d'habitants
• Investment per resident:	• Inversió per habitant:
Recognised net debentures (Chapters 6 and 7)	Obligacions reconegudes netes (capítols 6 i 7)
------------------------------------------- = 260.74 euros	-------------------------------------------- = 260,74 euros
Number of residents	Nombre d'habitants
• Investment effort:	• Esforç inversor:
Recongised net debentures (Chapters 6 and 7)	Obligacions reconegudes netes (capítols 6 i 7)
------------------------------------------ = 15.82%	-------------------------------------------- = 15,82%
Total recognised net debentures	Total obligacions reconegudes netes
For the current income budget:	Del pressupost d'ingressos corrent:
• Implementation of the income budget:	• Execució del pressupost d'ingressos:
Net recognised collectin rights	Drets reconeguts nets
= 97.86%	= 97,86%
Final forecast	Previsions definitives
• Collection made:	• Realització de cobraments:
Net collection	Recaptació neta
-----------------------------= 95.48%	--------------------- = 95,48%
Net recognised collection rights	Drets reconeguts nets
• Autonomy:	• Autonomia:
Recognised net collection rights (Chapters 1 and 3, 5, 6, 8 + transfers received)	Drets reconeguts nets (capítols 1 a 3, 5, 6, 8 + transferències rebudes)
--------------------------------------------------------------------= 95.21%	----------------------------------------------------------------- = 95,21%
All recognised net collection rights	Total drets reconeguts nets
• Tax autonomy:	• Autonomia fiscal:
Recognised net collection rights (Chapter 1 to 3)	Drets reconeguts nets (capítols 1 a 3)
--------------------------------------------- = 53.22%	----------------------------------- = 53,22%
All recognised net collection rights	Total drets reconeguts nets
• Surplus (deficit) per resident:	• Superàvit (o dèficit per habitant):
Adjusted budget result	Resultat pressupostari ajustat
---------------------= 17.65 euros	---------------------------- = 17,65 euros
Number of residents	Nombre d'habitants
For closed budgets:	De pressupostos tancats:
• Payments made:	• Realització de pagaments:
Payments	Pagaments
--------------------------------------------------------- = 79.52%	----------------------------------------------------= 79,52%
Initial balance for debentures (± amendments and annulments)	Saldo inicial d'obligacions (± modificacions i anul·lacions)
• Collections made:	• Realització de cobraments:
Collection	Cobraments
--------------------------------------------------------- = 20.21%	--------------------------------------------- =20,21%
Initial balance for debentures (± amendments and annulments)	Saldo inicial drets (± modificacions i anul·lacions)
26. Information on the costs of activities	26. Informació sobre el cost de les activitats
The results provided in this and the following sections supplement the information on the cost of activities and management indicators established in Order HAP/1781/2013, the guidelines for the usual model of public accounting in the sense of at least presenting by services and activities financed by public taxes and charges.	Els resultats facilitats en aquest apartat i el següent dona compliment a la informació sobre el cost de les activitats i indicadors de gestió establerts en l'ordre HAP/1781/2013, instrucció del model normal de comptabilitat pública en el sentit de presentar almenys pels serveis i activitats finançades amb taxes i preus públics.
With regard to these amounts, it should be pointed out that they are a selection of the results from the Barcelona City Council cost model, based on the ABC (Activity Based Costing) model, in which only those activities/tasks financed by public taxes or charges have been considered.	En relació a aquests imports cal remarcar que son un extracte dels resultats del model de costos de l'Ajuntament de Barcelona, basat en el model de costos ABC (Activity Based Costing) en el que s'han considerat únicament aquelles activitats-tasques que tenen en el seu finançament via taxes o preus públics.
General summary of city council costs	Resum general de costos de l'ajuntament
COST SUMMARY PER ITEM OF ACTIVITY	Resum general de costos de l'ajuntament
Cultural and outreach activities: Courses and workshops	Activitats culturals i de divulgació: Cursos i tallers
Cultural and outreach activities: Renting and use of premises	Activitats culturals i de divulgació: Lloguer i cessió d'espais
Training activities: Courses and workshops	Activitats formatives: Cursos i tallers
Urban planning activities: Subsidiary implementation files	Actuació urbanística: Expedients d'execució subsidiària
Urban planning activities: Urban planning files and reports	Actuació urbanística: Expedients i informes urbanístics
Urban planning activities: Processing major works permits	Actuació urbanística: Tramitació de les llicències d'obra major
Actions: Fountains	Actuacions: Fonts
Animals: Protection and control of animals: Barcelona Pet Shelter (CAACB)	Animals: Protecció i control d'animals: Centre d'Acollida d'Animals de Companyia de Barcelona (CAACB)
Advice and Training: External training for fire-fighters	Assessoraments i Formació: Formació externa donada pels bombers
Cost summary per activity	Resum dels costos per activitat
Summary relating activity costs and income from activity	Resum relacionant costos i ingressos de les activitats
27. Management indicators	27. Indicadors de gestió
As pointed out in note 26, only those indicators that refer to services and activities financed with taxes and public charges are shown.	Tal i com s'indica a la nota 26 es presenten únicament els indicadors que fan referència als serveis i activitats finançades amb taxes i preus públics.
Likewise, it should be noted that systems and procedures are currently being adapted that will enable us to define all the economic, efficiency and effectiveness indicators set out in the current Guidelines.	Així mateix cal indicar que en l'actualitat s'estan adaptant els sistemes i definint els procediments per poder determinar tots els indicadors d'eficàcia, eficiència i economia, i de mitjans de producció que estableix la vigent Instrucció.
Urban planning activities: Subsidiary implementation files	Actuació urbanística: Expedients d'execució subsidiària
€ 751,033.06	751.033,06 €
= € 11,554.35 / file	= 11.554,35 € / expedient
65 files	65 expedients
Urban planning activities: Urban planning files and reports	Actuació urbanística: Expedients i informes urbanístics
€ 1,272,960.47	1.272.960,47 €
= € 897.08 / file	= 897,08 € / expedient
1,419 files s	1.419 expedients
Urban planning activities: Processing major works licences	Actuació urbanística: Tramitació de las llicències d'obra major
€ 1,732,938.19	1.732.938,19 €
= € 1,245.82 / license	= 1.245,82 € / llicència
1,391 licenses	1.391 llicències
Advice and Training: External training for fire-fighters	Assessorament i Formació: Formació externa donada pels bombers
€ 132,544.50	132.544,50 €
-------------------= € 152.00 / student	= 152,00 € / alumne
872 students	872 alumnes
Family and children: Activities and coordination of children's centres, youth centres and toy libraries	Família i infància: Activitats i coordinació dels centres infantils, espais adolescents i ludoteques infantils
€ 5,234,531.56	5.234.531,56 €
--------------------------- = € 03.23 / city inhabitant	--------------------------- = 03,23 € / habitant ciutat
1,620,809 city inhabitants	1.620.809 habitants ciutats
Family and children: Promoting childhood and adolescence	Família i infància: Promoció de la infància i l'adolescència
€ 506,933.48	506.933,48 €
----------------------------------------= € 580.02 / child or adolescent	------------------------------= 580,02 € / nen o adolescent
874 children and adolescents attended tos	874 nens i adolescents atesos
Senior citizens: Activities and coordination of municipal senior citizen centres and spaces	Gent gran: Activitats i coordinació dels casals i espais municipals per a gent gran
€ 7,680,875.79	7.680.875,79 €
= € 144,922.18 / centre	= 144.922,18 € / casal
53 centres	53 casals
Youth: Activities and coordination of youth centres and Youth Information Points (PIJ)	Joventut: Activitats i coordinació dels centres de joves i Punts d'Informació Juvenil (PIJ)
€ 4,257,129.49	4.257.129,49 €
= € 152,040.34 / centre	= 152.040,34 € / casal
28 centre	28 casals
Public highway licences: Inspections of activities in public areas	Llicències a la via pública: Inspeccions d'activitats en l'espai públic
€ 5,798,434.06	5.798.434,06 €
= € 224.34 / inspection	= 224,34 € / inspecció
25,847 inspections	25.847 inspeccions
Public highway licences: Minor construction work licences	Llicències a la via pública: Llicències d'obra menor
€ 1,506,596.41	1.506.596,41 €
------------------= € 32.91 / licence	------------------- = 32,91 € / llicència
45,778 licences	45.778 llicències
Public highway licences: Licences for commercial occupancy of pavements and public spaces	Llicències a la via pública: Llicències d'ocupació comercial de voreres i espais d'ús públic
€ 1,852,765.01	1.852.765,01 €
= € 76.07 / licence	------------------- = 76,07 € / llicència
24,356 licences	24.356 llicències
Waste collection and management: Green points for waste treatment and selection (TERSA)	Recollida i gestió de residus: Punts verds per tractament i selecció de residus (TERSA)
€ 4,803,381.26	4.803.381,26 €
------------------------------ = € 285.42 / tonne collected	------------------------------------= 285,42 € / tona recollida
16,829 tonnes collected	16.829 número de tones recollides
Waste collection and management: Old furniture and junk collection	Recollida i gestió de residus: Recollida de mobles i trastos vells
€ 12,351,999.77	12.351.999,77 €
--------------------------------------------= € 353.87 / tonne of furniture and junk	-------------------------------------= 353,87 € / tona de mobles i andròmines
34,905 tonnes of furniture and pieces of junks	34.905 tones de mobles i andròmines
Waste collection and management: Domestic waste collection	Recollida i gestió de residus: Recollida domiciliària d'escombraries
€ 67,228,768.13	67.228.768,13 €
---------------------------= € 41.48 / city inhabitant	---------------------------= 41,48 € / habitant ciutat
1,620,809 city inhabitants	1.620.809 habitants ciutats
Waste collection and management: Commercial waste	Recollida i gestió de residus: Residus comerços
€ 17,010,141.91	17.010.141,91 €
----------------------------------= € 316.41 / tonne commercial waste	------------------------------------= 316,41 € / tona d'origen comercial
53,760 tonnes commercial waste	53.760 tones d'origen comercial
Waste collection and management: Municipal market waste	Recollida i gestió de residus: Residus mercats municipals
€ 3,178,507.17	3.178.507,17 €
-----------------------= € 255.73 / tonne collected	------------------------= 255,73 € / tona recollida
12,429 tonnes collected	12.429 tones recollides
District procedures: Activity licences	Tràmits dels districtes: Llicències d'activitats
€ 1,639,375.34	1.639.375,34 €
--------------= € 6,117.07 / revision	----------------= 6.117,07 € / revisió
268 revisions	268 revisions
28. Events subsequent to accounts closure	28. Fets posteriors al tancament
No significant events occurred between closure and drafting of the annual accounts which would require reporting or lead to the inclusion of adjustments to the figures contained in the annual accounts.	Entre la data de tancament de l'exercici i la de formulació dels comptes anuals no s'han produït fets significatius que hagin d'informar-se o què hagin de donar lloc a la incorporació d'ajustaments en les xifres contingudes en els comptes anuals.
29. Other information	29. Altra informació
a) Accrued liabilities expenditure	a) Ajustaments per periodificació de passiu
The long-term variations in the accrued liabilities expenditure item for the 2017 financial year were as follows:	El moviment de l'epígraf d'ajustaments per periodificació a llarg termini a l'exercici 2017 ha estat el següent:
The balance on 31 December 2017 corresponds to income received in advance for the right to use municipally owned assets. Income received in advance is transferred every year to the Profit and Loss Account using the straight-line method for the duration of the period of the corresponding concession, which will end, at the latest, by 2092.	El saldo a 31 de desembre de 2017 correspon a ingressos rebuts per avançat pel dret d'utilització de béns de titularitat municipal. Els ingressos rebuts per avançat es traspassen anualment al compte de resultats de manera lineal en el decurs del període de la corresponent concessió, que es situa com a màxim a l'any 2092.
Short-term accrued expenditure for the 2017 financial year presents the following variations:	Els ajustaments per periodificació a curt termini a l'exercici 2017 presenten el següent moviment:
b) Auditors' fees	b) Honoraris dels auditors
The fees to be received by Ernst & Young, SL, corresponding to the audit services and expenditure incurred in the provision of these services during the 2017 financial year amounted to €120,000, VAT included. Invoiced to Barcelona City Council under the audit contract's invitation-to-tender lot 1 file, these fees also included the audit work of the consolidated annual accounts of the Barcelona City Council group, quality control and coordination of the work and support for the General Intervention in exercising financial control over fifteen grants and subsidies.	Els honoraris a percebre per Ernst & Young, SL, corresponents als serveis d'auditoria i despeses incorregudes per la prestació d'aquests serveis de l'exercici 2017 ascendeixen a 120 milers d'euros, IVA inclòs. Aquests honoraris, que es facturen a l'Ajuntament de Barcelona en virtut de l'expedient d'adjudicació del lot 1 del concurs d'auditoria, inclouen també els treballs d'auditoria dels comptes anuals consolidats del grup Ajuntament de Barcelona, control de qualitat i coordinació dels treballs i suport a la Intervenció General en l'exercici del control financer respecte de quinze subvencions.
c) Taxes and social security contributions subject to inspection	c) Impostos i cotitzacions socials susceptibles d'inspecció
All taxes and social security contributions that the City Council is subject to are eligible for auditing for all the financial years during which the limitation period deadline established under the legislation in force has not lapsed. No additional liabilities that merit consideration are expected for the City Council as a result of possible inspections.	Són susceptibles d'actuació inspectora tots els tributs i cotitzacions socials a què es troba subjecte l'Ajuntament per a tots els exercicis que no hagi transcorregut el termini de prescripció que estableix la normativa vigent. No s'espera que es meritin passius addicionals de consideració per a l'Ajuntament com a conseqüència d'eventuals actuacions inspectores.
The Chief Executive of Barcelona City Council, on 23 May 2018, acting in compliance with the requirements established by Article 64 of Act 1/2006 regulating the special system for Barcelona, hereby draws up the consolidated annual accounts in this document, pages 1 to 84, corresponding to the financial year ending 31 December 2017.	El Gerent Municipal de l'Ajuntament de Barcelona, en data 23 de maig de 2018, i en compliment dels requisits establerts a l'article 64 de la llei 1/2006 que regula el règim especial de Barcelona, procedeix a formular els comptes anuals compresos en aquest document, de les pàgines 1 a 84, corresponents a l'exercici anual acabat a 31 de desembre de 2017.
The Municipal Chief Executive	El gerent municipal
