en-cat	cat	en-sp	sp
liable to taxation is something that corresponds solely to the legislator with	107.2.a) i 110.4 del TRLHL, aprovat pel RDL 2/2004, de 5 de març, en la mesura en	liable to taxation is something that corresponds solely to the legislator with	de valor en relación al impuesto sobre el incremento de valor de los terrenos de
its freedom to shape legislation following the publication of this judgement, implementing the pertinent modifications or adaptations to the legal framework	què sotmeten a tributació situacions d'inexistència d'increments de valor en relació a l'impost sobre l'increment de valor dels terrenys de naturalesa urbana.	its freedom to shape legislation following the publication of this judgement,	naturaleza urbana. La propia sentencia declara que “la forma de determinar la existencia o no
of the tax that make it possible to arbitrate instances in which taxation situations	La pròpia sentència declara que “la forma de determinar la existencia o no	implementing the pertinent modifications or adaptations to the legal framework	de un incremento susceptible de ser sometido a tributación es algo que solo
where there is no increase in the value of urban land are not submitted”.	de un incremento susceptible de ser sometido a tributación es algo que solo	of the tax that make it possible to arbitrate instances in which taxation situations where there is no increase in the value of urban land are not submitted”.	corresponde al legislador, en su libertad de configuración normativa, a partir de la publicación de esta Sentencia, llevando a cabo las modificaciones o adaptaciones pertinentes en el régimen legal del impuesto que permitan arbitrar el modo de no someter a tributación las situaciones de inexistencia de incremento de valor de los terrenos de naturaleza urbana”.
Despite the time that has elapsed since the aforementioned judgement was issued, it was only on 9 March 2018 that it entered the Congress of Deputies following the publication in the Official Gazette of the Spanish Parliament (BOCG) of a Bill to	corresponde al legislador, en su libertad de configuración normativa, a partir de la publicación de esta Sentencia, llevando a cabo las modificaciones o adaptaciones pertinentes en el régimen legal del impuesto que permitan arbitrar el modo de no someter a tributación las situaciones de inexistencia de incremento de valor de los terrenos de naturaleza urbana”.	Despite the time that has elapsed since the aforementioned judgement was issued, it was only on 9 March 2018 that it entered the Congress of Deputies following the publication in the Official Gazette of the Spanish Parliament (BOCG) of a Bill to	No ha sido hasta el pasado 9 de marzo de 2018, aún el tiempo transcurrido desde la citada sentencia del TC, que ha entrado en el Congreso de los Diputados, mediante la publicación en el Boletín Oficial de las Cortes Generales de la
modify the Consolidated Text of the Local Tax Authorities Act, approved by RDL	No ha estat fins al passat 9 de març de 2018, malgrat el temps transcorregut des de l'esmentada sentència del TC, que ha entrat en el Congrés dels Diputats, mitjançant la publicació al Butlletí Oficial de les Corts Generals de la Proposició de Llei per la	modify the Consolidated Text of the Local Tax Authorities Act, approved by RDL	Proposición de Ley por la que se modifica el texto refundido de la Ley reguladora
2/2004 of 5 March, and other tax regulations, in order to bring the text of local tax authority legislation in line with the Constitutional Court's pronouncement.	que se modifica el text refós de la Llei reguladora de les hisendes locals, aprovat per RDL 2/2004, de 5 de març, i altres normes tributàries, als efectes d'adequar el text de la legislació d'hisendes locals al pronunciament de l'Alt Tribunal.	2/2004 of 5 March, and other tax regulations, in order to bring the text of local tax authority legislation in line with the Constitutional Court's pronouncement.	de las haciendas locales, aprobado por RDL 2/2004, de 5 de marzo, y otras
Given that no legislation had been passed when these annual accounts were drawn up, no provision has been recorded, as the amount cannot be reliably estimated until a valid text has been approved.	Donat què a la data de formulació d'aquests comptes anuals encara no s'ha	Given that no legislation had been passed when these annual accounts were drawn up, no provision has been recorded, as the amount cannot be reliably estimated until a valid text has been approved.	normas tributarias, a los efectos de adecuar el texto de la legislación de haciendas locales al pronunciamiento del Alto Tribunal.
Likewise, at the close of the financial year, the City Council was in the middle of	aprovat cap llei , no s'ha registrat cap provisió atenent a què el seu import no pot	Likewise, at the close of the financial year, the City Council was in the middle of	Dado que a la fecha de formulación de estas cuentas anuales todavía no se ha
legal proceedings, described as being at possible risk, at the courts and tribunals.	ser valorat de forma fiable fins que no es disposi d'un text vàlidament aprovat .	legal proceedings, described as being at possible risk, at the courts and tribunals.	aprobado ninguna ley, no se ha registrado ninguna provisión atendiendo a que su
One case that should be mentioned is a claim under the heading of financial	Així mateix, a la data de tancament de l'exercici, l'Ajuntament té assumptes	One case that should be mentioned is a claim under the heading of financial	importe no puede ser valorado de forma fiable hasta que no se disponga de un
		texto válidamente aprobado.
liability which originated from an order to cease activity being carried out by a	contenciosos en tramitació als jutjats i tribunals que es qualifiquen amb risc	liability which originated from an order to cease activity being carried out by a	Así mismo, a la fecha de cierre del ejercicio, el Ayuntamiento tiene asuntos
company as it differed from the authorised activity.	possible, d'entre els quals cal fer esment a un assumpte on es reclama en concepte de responsabilitat patrimonial i que té el seu origen en un ordre de cessament de l'activitat desenvolupada per una empresa al portar a terme una activitat diferent a l'autoritzada.	company as it differed from the authorised activity.	contenciosos en tramitación en los juzgados y tribunales que se cualifican con
		riesgo posible, de entre los cuales es necesario hacer mención de un asunto donde se reclama en concepto de responsabilidad patrimonial y que tiene su origen en una orden de cese de la actividad desarrollada por una empresa al llevar a término una actividad diferente a la autorizada.
There are three matters where there is a probable risk but it has not been possible to quantify the cost of the judgement in these cases. These matters relate to a works permit for the construction of two single-family dwellings and two works permits for the construction of two hotel establishments.	Existeixen tres assumptes amb risc probable però sobre els quals no ha estat possible dur a terme una quantificació del cost de la sentència. Aquests assumptes corresponen a una llicència d'obres per a la construcció de dos habitatges unifamiliars i a dues llicències d'obres per la construcció de dos establiments hotelers.	There are three matters where there is a probable risk but it has not been possible to quantify the cost of the judgement in these cases. These matters relate to a works permit for the construction of two single-family dwellings and two works permits for the construction of two hotel establishments.	Existen tres asuntos con riesgo probable pero sobre los cuales no ha sido posible llevar a cabo una cuantificación del coste de la sentencia. Estos asuntos corresponden a una licencia de obras para la construcción de dos viviendas unifamiliares y a dos licencias de obras para la construcción de dos establecimientos hoteleros.
16.2. Contingent assets.	16.2. Actius contingents	16.2. Contingent assets.	16.2. Activos contingentes
At the close of the financial year, the City Council had no contingent assets	A la data de tancament de l'exercici, l'Ajuntament no té actius de naturalesa	At the close of the financial year, the City Council had no contingent assets	A la fecha de cierre del ejercicio, el Ayuntamiento no tiene activos de naturaleza
regarding which information must be given in the annual report.	contingent dels que calgui informar en la memòria.	regarding which information must be given in the annual report.	contingente de los que deba informar en la memoria.
17. Information on the environment	17. Informació sobre el medi ambient	17. Information on the environment	17. Información sobre el medio ambiente
The City Council recorded the following obligations charged to the programmes of expenditure policy 17 “Environment”:	L'Ajuntament ha registrat les següents obligacions amb càrrec als programes de la política de despesa 17 “Medi ambient”:	The City Council recorded the following obligations charged to the programmes of expenditure policy 17 “Environment”:	El Ayuntamiento ha registrado las siguientes obligaciones con cargo a los programas de la política de gasto 17 “Medio ambiente”:
18. Assets under sale	18. Actius en estat de venda	18. Assets under sale	18. Activos en estado de venta
On the closing date, the City Council did not keep fixed assets in the balance sheet where the accounting value thereof had to be recovered through sale.	A la data de tancament, l'Ajuntament no manté en balanç actius no corrents el valor comptable dels quals hagi de recuperar-se a través de la seva venda.	On the closing date, the City Council did not keep fixed assets in the balance sheet where the accounting value thereof had to be recovered through sale.	A la fecha de cierre, el Ayuntamiento no mantiene en balance activos no corrientes cuyo valor contable tenga que recuperarse a través de su venta.
19. Presentation of the income and expenditure account by activity	19. Presentació per activitats del compte del resultat econòmic-patrimonial	19. Presentation of the income and expenditure account by	19. Presentación por actividades de la cuenta del resultado
	activity	económico-patrimonial
Barcelona City Council's Income and Expenditure Account, classed by activity, is as follows:	El compte de resultats econòmic patrimonial de l'Ajuntament de Barcelona classificat per activitats és com segueix:	Barcelona City Council's Income and Expenditure Account, classed by activity, is as follows:	La cuenta de resultados económica patrimonial del Ayuntamiento de Barcelona clasificada por actividades se presenta como sigue:
The following rules have been taken into account for its drafting:	Per a la seva elaboració s'han tingut en compte les normes següents:	The following rules have been taken into account for its drafting:	Para su elaboración se han tenido en cuenta las normas siguientes:
a) Income: classification of total income in the categories of day-to-day management income, financial and other income.	a) Ingressos: classificació dels ingressos totals en les categories d'ingressos de gestió ordinària, ingressos financers i altres ingressos.	a) Income: classification of total income in the categories of day-to-day management income, financial and other income.	a) Ingresos: clasificación de los ingresos totales en las categorías de ingresos de gestión ordinaria, ingresos financieros y otros ingresos.
b) Expenditure: the budgetary expenses set out in chapters 1 to 5 of the City	b) Despeses: les despeses pressupostàries recollides als capítols 1 a 5 del	b) Expenditure: the budgetary expenses set out in chapters 1 to 5 of the City	b) Gastos: los gastos presupuestarios recogidos en los capítulos 1 a 5 del
Council's current expenditure budget, classed by expenditure policy. The other expenses in the Income and Expenditure Account, distributed among the various expenditure policies in the proportion that each policy represents of the total expenditure budget.	pressupost des despeses corrents de l'Ajuntament, classificades per política de despesa. La resta de despeses del compte de resultats econòmic patrimonial, distribuïdes en les diferents polítiques de despesa en la proporció que, sobre la despesa total pressupostària, suposa cada una de les polítiques de despesa.	Council's current expenditure budget, classed by expenditure policy. The other	presupuesto de gastos corrientes del Ayuntamiento, clasificados por política
	expenses in the Income and Expenditure Account, distributed among the various expenditure policies in the proportion that each policy represents of the total expenditure budget.	de gasto. El resto de gastos de la cuenta de resultados económico-patrimonial,
20. Resource administration receivables on behalf of other public bodies	20. Operacions per administració de recursos per compte d'altres ens públics	20. Resource administration receivables on behalf of other public bodies	distribuidos en las diferentes políticas de gasto en la proporción que, sobre el
The amount included in the assets side of the balance sheet refers to entitlements pending collection from third parties regarding the development of the resource administration management payable by other public bodies (Note 20.3 a).	El saldo inclòs a l'actiu del balanç fa referència als drets pendent de cobrar del	The amount included in the assets side of the balance sheet refers to entitlements pending collection from third parties regarding the development of the resource administration management payable by other public bodies (Note 20.3 a).	gasto total presupuestario, supone cada una de las políticas de gasto.
The amount included in the liabilities side of the balance sheet is that from Note	tercer en relació al desenvolupament de la gestió d'administració de recursos per	The amount included in the liabilities side of the balance sheet is that from Note	20. Operaciones por administración de recursos por cuenta de otros entes públicos
20.3 a) - as these entitlements, still pending, will have to be delivered to the	compte d'altres ens públics (nota 20.3 a).	20.3 a) - as these entitlements, still pending, will have to be delivered to the	El saldo incluido en el activo del balance hace referencia a los derechos pendientes de cobrar del tercero en relación con el desarrollo de la gestión de administración de recursos por cuenta de otros entes públicos —nota 20.3 a)—.
organisation through which the administration is carried out - plus the balance	El saldo inclòs al passiu del balanç és l'import de la nota 20.3 a) -ja que aquests	organisation through which the administration is carried out - plus the balance of the amounts already collected from third parties but pending delivery to the	El saldo incluido en el pasivo del balance es el importe de la nota 20.3 a) —ya que estos derechos pendientes de cobrar deberán entregarse al ente por el que se hace la administración—, más el saldo de los importes ya recaudados del tercero, pero pendientes de entregar al ente por el que se hace la administración, y
of the amounts already collected from third parties but pending delivery to the	drets pendent de cobrar hauran de lliurar-se a l'ens pel qual es fa l'administració-	
organisation through which the administration is made, and reflected in Note 20.1.	més el saldo dels imports ja recaptats del tercer però pendents de lliurar a l'ens pel qual es fa l'administració, i reflectits a la nota 20.1.	organisation through which the administration is made, and reflected in Note 20.1.	reflejados en la nota 20.1.
20.1. Management-derived debentures	20.1. Obligacions derivades de la gestió	20.1. Management-derived debentures	20.1. Obligaciones derivadas de la gestión
20.2. Public bodies, current cash accounts	20.2. Ens públics, comptes corrents en efectiu	20.2. Public bodies, current cash accounts	20.2. Entes públicos, cuentas corrientes en efectivo
The City Council does not use such accounts as cash deliveries are not made to the final settlement account.	L'Ajuntament no utilitza aquests comptes ja que no es realitzen lliuraments d'efectiu a compte de la liquidació definitiva.	The City Council does not use such accounts as cash deliveries are not made to the final settlement account.	El Ayuntamiento no utiliza estas cuentas, ya que no se realizan entregas de efectivo a cuenta de la liquidación definitiva.
20.3. Management development	20.3. Desenvolupament de la gestió	20.3. Management development	20.3. Desarrollo de la gestión
a) Summary	a) Resum	a) Summary	a) Resumen
b) Revoked collection rights	b) Drets anul·lats	b) Revoked collection rights	b) Derechos anulados
c) Cancelled collection rights	c) Drets cancel·lats d) Devolució d'ingressos	c) Cancelled collection rights	c) Derechos cancelados d) Devolución de ingresos
21. Non-budgetary liquid asset transactions	21. Operacions no pressupostàries de tresoreria	21. Non-budgetary liquid asset transactions	21. Operaciones no presupuestarias de tesorería
Information is given below on the non-budgetary liquid asset transactions included in these transactions made over the financial year which led to the creation or extinction of:	A continuació s'informa sobre les operacions no pressupostàries de tresoreria que comprenen aquelles operacions realitzades durant l'exercici que han donat lloc al naixement o extinció de:	Information is given below on the non-budgetary liquid asset transactions included in these transactions made over the financial year which led to the creation or extinction of:	A continuación se informa sobre las operaciones no presupuestarias de tesorería que comprenden aquellas operaciones realizadas durante el ejercicio que han dado lugar al nacimiento o extinción de:
• Receivables and liabilities under the current rules for the City Council that do not have to be allocated to its budget either at the time of their creation or maturity.	• Deutors i creditors que, d'acord amb la normativa vigent per a l'Ajuntament, no s'hagin d'imputar al seu pressupost, ni en el moment del seu naixement ni en el del seu venciment.	• Receivables and liabilities under the current rules for the City Council that do not have to be allocated to its budget either at the time of their creation or maturity.	• Deudores y acreedores que, de acuerdo con la normativa vigente para el Ayuntamiento, no se deban imputar a su presupuesto, ni en el momento de su nacimiento ni en el de su vencimiento.
• Items representing collections and payments pending final application, for both budgetary and non-budgetary transactions.	• Partides representatives de cobraments i pagaments pendents d'aplicació definitiva, tant per operacions pressupostàries com no pressupostàries.	• Items representing collections and payments pending final application, for both budgetary and non-budgetary transactions.	• Partidas representativas de cobros y pagos pendientes de aplicación definitiva, tanto por operaciones presupuestarias como no presupuestarias.
21.1. Non-budgetary receivables statement.	21.1. Estat de deutors no pressupostaris	21.1. Non-budgetary receivables statement.	21.1. Estado de deudores no presupuestarios.
21.2. Non-budgetary liabilities statement	21.2. Estat de creditors no pressupostaris	21.2. Non-budgetary liabilities statement	21.2. Estado de acreedores no presupuestarios
21.3. Statement of items pending application a) Collections pending application	21.3. Estat de partides pendents d'aplicació a) Cobraments pendents d'aplicació	21.3. Statement of items pending application a) Collections pending application	21.3. Estado de partidas pendientes de aplicación a) Cobros pendientes de aplicación
b) Payments pending application	b) Pagaments pendents d'aplicació	b) Payments pending application	b) Pagos pendientes de aplicación
At the close of the financial year, the City Council had no payments pending application.	Al tancament de l'exercici l'Ajuntament no té pagaments pendents d'aplicació.	At the close of the financial year, the City Council had no payments pending application.	Al cierre del ejercicio, el Ayuntamiento no tiene pagos pendientes de aplicación.
22. Administrative procurement. Awarding procedures	22. Contractació administrativa. Procediments d'adjudicació	22. Administrative procurement. Awarding procedures	22. Contratación administrativa. Procedimientos de adjudicación
The aggregate amounts of administrative procurement during the financial year, according to the awarding procedure, are shown below.	A continuació es detallen els imports agregats de les contractacions administratives realitzades en l'exercici en funció del seu procediment d'adjudicació.	The aggregate amounts of administrative procurement during the financial year, according to the awarding procedure, are shown below.	A continuación se detallan los importes agregados de las contrataciones administrativas realizadas en el ejercicio en función de su procedimiento de adjudicación.
23. Securities received on deposit	23. Valors rebuts en dipòsit	23. Securities received on deposit	23. Valores recibidos en depósito
24. Budget information	24. Informació pressupostària	24. Budget information	24. Información presupuestaria
24.1. Current financial year	24.1. Exercici corrent	24.1. Current financial year	24.1. Ejercicio corriente
24.1.1. Expenditure budget a) Credit amendments	24.1.1. Pressupost de despeses a) Modificacions de crèdit	24.1.1. Expenditure budget a) Credit amendments	24.1.1. Presupuesto de gatos a) Modificaciones de crédito
b) Credit surpluses	b) Romanents de crèdit	b) Credit surpluses	b) Remanentes de crédito
c) Liabilities for transactions pending application to the budget	c) Creditors per operacions pendents d'aplicar al pressupost	c) Liabilities for transactions pending application to the budget	c) Acreedores por operaciones pendientes de aplicar al presupuesto
The City Council does not have any payable transactions yet to be applied to the budget.	L'Ajuntament no té operacions creditores pendents d'aplicar al pressupost.	The City Council does not have any payable transactions yet to be applied to the budget.	El Ayuntamiento no tiene operaciones acreedoras pendientes de aplicar al presupuesto.
24.1.2. Income budget	24.1.2. Pressupost d'ingressos	24.1.2. Income budget	24.1.2. Presupuesto de ingresos
a) Management process a1) Revoked collection rights	a) Procés de gestió a1) Drets anul·lats	a) Management process a1) Revoked collection rights	a) Proceso de gestión a1) Derechos anulados
a2) Revoked collection rights	a2) Drets cancel·lats	a2) Revoked collection rights	a2) Derechos cancelados
a3) Net collection	a3) Recaptació neta	a3) Net collection	a3) Recaudación neta
b) Returned income	b) Devolucions d'ingressos	b) Returned income	b) Devoluciones de ingresos
c) Committed income	c) Compromisos d'ingrés	c) Committed income	c) Compromisos de ingreso
24.2. Closed financial years	24.2. Exercicis tancats	24.2. Closed financial years	24.2. Ejercicios cerrados
24.2.1. Expenditure budget Closed budget debentures	24.2.1. Pressupost de despeses. Obligacions de pressupostos tancats	24.2.1. Expenditure budget Closed budget debentures	24.2.1. Presupuesto de gastos. Obligaciones de presupuestos cerrados
24.2.2. Income budget. Entitlements pending collection from closed budgets a) Total entitlements pending collection	24.2.2. Pressupost d'ingressos. Drets a cobrar de pressupostos tancats a) Drets pendents de cobrament totals	24.2.2. Income budget. Entitlements pending collection from closed budgets a) Total entitlements pending collection	24.2.2. Presupuesto de ingresos. Derechos a cobrar de presupuestos cerrados a) Derechos pendientes de cobro totales
b) Revoked collection rights	b) Drets anul·lats	b) Revoked collection rights	b) Derechos anulados
c) Cancelled collection rights	b) Drets cancel·lats	c) Cancelled collection rights	c) Derechos cancelados
24.2.3. Variation of results	24.2.3. Variació de resultats	24.2.3. Variation of results	24.2.3. Variación de resultados
24.3. Subsequent financial years	24.3. Exercicis posteriors	24.3. Subsequent financial years	24.3. Ejercicios posteriores
24.3.1. Committed expenditure charged to budgets of subsequent financial years	24.3.1. Compromisos de despesa amb càrrec a pressupostos d'exercicis posteriors	24.3.1. Committed expenditure charged to budgets of subsequent financial years	24.3.1. Compromisos de gasto con cargo a presupuestos de ejercicios posteriores
24.3.2. Committed income charged to budgets of subsequent financial years	24.3.2. Compromisos d'ingrés amb càrrec a pressupostos d'exercicis posteriors	24.3.2. Committed income charged to budgets of subsequent financial years	24.3.2. Compromisos de ingreso con cargo a presupuestos de ejercicios posteriores
24.4. Expenditure with allocated funding	24.4. Despeses amb finançament afectat	24.4. Expenditure with allocated funding	24.4. Gastos con financiación afectada
24.5. Treasury surplus	24.5. Romanent de tresoreria	24.5. Treasury surplus	24.5. Remanente de tesorería
The treasury surplus statement resulting from the financial year budget settlement and those of previous financial years is as follows:	L'estat del romanent de tresoreria que resulta de la liquidació del pressupost de l'exercici i de pressupostos d'exercicis anteriors és el següent:	The treasury surplus statement resulting from the financial year budget settlement and those of previous financial years is as follows:	El estado del remanente de tesorería que resulta de la liquidación del presupuesto del ejercicio y de presupuestos de ejercicios anteriores es el siguiente:
25. Financial, equity and budget indicators	25. Indicadors financers, patrimonials i pressupostaris	25. Financial, equity and budget indicators	25. Indicadores financieros, patrimoniales y presupuestarios
a) Financial and equity indicators	a) Indicadors financers i patrimonials	a) Financial and equity indicators	a) Indicadores financieros y patrimoniales
• Immediate liquidity:	• Liquiditat immediata:	• Immediate liquidity:	• Liquidez inmediata:
Liquid funds	Fons líquids	Liquid funds	Fondos líquidos
= 0.88	= 0,88	= 0.88	= 0,88
Current habilities	Passiu corrent	Current habilities	Pasivo corrientee
• Short-term liquidity:	• Liquiditat a curt termini:	• Short-term liquidity:	• Liquidez a corto plazo:
Liquid funds + Entitlements pending collection	Fons líquids+ Drets pendents de cobrament	Liquid funds + Entitlements pending collection	Fondos líquidos + Derechos pendientes de cobro
--------------------------------------------------= 1.61	------------------------------------------- = 1,61	--------------------------------------------------= 1.61	-------------------------------------------------- = 1,61
Current liabilities	Passiu corrent	Current liabilities	Pasivo corriente
• General liquidity:	• Liquiditat general:	• General liquidity:	• Liquidez general:
Current assets	Actiu corrent	Current assets	Activo corriente
= 1.10	= 1,10	= 1.10	= 1,10
Current liabilities	Passiu corrent	Current liabilities	Pasivo corriente
• Debt per resident:	• Endeutament per habitant:	• Debt per resident:	• Endeudamiento por habitante:
Liabilities	Passiu	Liabilities	Pasivo
----------------------= 1,480.51 euros	------------------- = 1.480,51 euros	----------------------= 1,480.51 euros	---------------------- = 1.480,51 euros
Number of residents	Nombre d'habitants	Number of residents	Número de habitantes
• Debt:	• Endeutament:	• Debt:	• Endeudamiento
Liabilities	Passiu	Liabilities	Pasivo
= 0.17	= 0,17	= 0.17	= 0,17
Liabilities + Net equity	Passiu + Patrimoni net	Liabilities + Net equity	Pasivo + Patrimonio neto
• Debt ratio:	• Relació d'endeutament:	• Debt ratio:	• Relación de endeudamiento:
Current liabilities	Passiu corrent	Current liabilities	Pasivo corriente
= 0.65	= 0,65	= 0.65	= 0,65
Fixed liabilities	Passiu no corrent	Fixed liabilities	Pasivo no corriente
• Cash flow:	• Flux de caixa:	• Cash flow:	• - Flujo de caja:
Liabilities	Passiu	Liabilities	Pasivo
= 6.58	= 6,58	= 6.58	= 6,58
Net management flows	Fluxos nets de gestió	Net management flows	Flujos netos de gestión
• Average payment period to commercial liabilities: 28.5 days. • Average collection period: 26.9 days.	• Període mig de pagament a creditors comercials: 28,5 dies. • Període mig de cobrament: 26,9 dies.	• Average payment period to commercial liabilities: 28.5 days.	• Periodo medio de pago a acreedores comerciales: 28,5 días.
	• Average collection period: 26.9 days.	• Periodo medio de cobro: 26,9 días.
• Income and Expenditure Account ratios	• Ràtios del compte del resultat econòmic-patrimonial	• Income and Expenditure Account ratios	• Ratios de la cuenta del resultado económico-patrimonial
• Income structure	Estructura dels ingressos	• Income structure	Estructura de los ingresos
• Expenditure structure	• Estructura de les despeses	• Expenditure structure	• Estructura de los gastos
• Coverage of current expenses: highlights the existing relationship between day-to-day management expenditure and income.	• Cobertura de les despeses corrents: posa de manifest la relació existent entre les despeses de gestió ordinària i els ingressos de la mateixa naturalesa.	• Coverage of current expenses: highlights the existing relationship between day-to-day management expenditure and income.	• Cobertura de los gastos corrientes: pone de manifiesto la relación existente entre los gastos de gestión ordinaria y los ingresos de la misma naturaleza.
Day to day management expenses	Despeses de gestió ordinària	Day to day management expenses	Gastos de gestión ordinaria
= 90.27%	= 90,27%	= 90.27%	= 90,27%
Day to day management income	Ingressos de gestió ordinària	Day to day management income	Ingresos de gestión ordinaria
b) Budget indicators	b) Indicadors pressupostaris	b) Budget indicators	b) Indicadores presupuestarios
For the current expenditure budget:	Del pressupost de despeses corrent:	For the current expenditure budget:	Del presupuesto de gastos corriente:
• Implementation of the expenditure budget:	• Execució del pressupost de despeses:	• Implementation of the expenditure budget:	• Ejecución del presupuesto de gastos:
Recognised net debentures	Obligacions reconegudes netes	Recognised net debentures	Obligaciones reconocidas netas
------------------------ = 96.58%	------------------------------ = 96,58%	------------------------ = 96.58%	= 96,58%
Final credits	Crèdits definitius	Final credits	Créditos definitivos
• Payments made:	• Realització de pagaments:	• Payments made:	• Realización de pagos:
Payments made	Pagaments efectuats	Payments made	Pagos efectuados
------------------------ = 78.71%	------------------------------ = 78,71%	------------------------ = 78.71%	------------------------------ = 78,71%
Recognised net debentures	Obligacions reconegudes netes	Recognised net debentures	Obligaciones reconocidas netas
• Expenditure per resident:	• Despesa per habitant:	• Expenditure per resident:	• Gasto por habitante:
Recognised net debetures	Obligacions reconegudes netes	Recognised net debetures	Obligaciones reconocidas netas
------------------------= 1,648.61 euros	------------------------------ = 1.648,61 euros	------------------------= 1,648.61 euros	------------------------------- = 1.648,61 euros
Number of residents	Nombre d'habitants	Number of residents	Número de habitantes
• Investment per resident:	• Inversió per habitant:	• Investment per resident:	• Inversión por habitante:
Recognised net debentures (Chapters 6 and 7)	Obligacions reconegudes netes (capítols 6 i 7)	Recognised net debentures (Chapters 6 and 7)	Obligaciones reconocidas netas Capítulos 6 y 7
------------------------------------------- = 260.74 euros	-------------------------------------------- = 260,74 euros	------------------------------------------- = 260.74 euros	----------------------------------------------= 260,74 euros
Number of residents	Nombre d'habitants	Number of residents	Número de habitantes
• Investment effort:	• Esforç inversor:	• Investment effort:	• Esfuerzo inversor:
Recongised net debentures (Chapters 6 and 7)	Obligacions reconegudes netes (capítols 6 i 7)	Recongised net debentures (Chapters 6 and 7)	Obligaciones reconocidas netas (Capítulos 6 y 7)
------------------------------------------ = 15.82%	-------------------------------------------- = 15,82%	------------------------------------------ = 15.82%	---------------------------------------------- = 15,82%
Total recognised net debentures	Total obligacions reconegudes netes	Total recognised net debentures	Total obligaciones reconocidas netas
For the current income budget:	Del pressupost d'ingressos corrent:	For the current income budget:	Del presupuesto de ingresos corriente:
• Implementation of the income budget:	• Execució del pressupost d'ingressos:	• Implementation of the income budget:	• Ejecución del presupuesto de ingresos:
Net recognised collectin rights	Drets reconeguts nets	Net recognised collectin rights	Derechos reconocidos netos
= 97.86%	= 97,86%	= 97.86%	= 97,86%
Final forecast	Previsions definitives	Final forecast	Previsiones definitivas
• Collection made:	• Realització de cobraments:	• Collection made:	• Realización de cobros:
Net collection	Recaptació neta	Net collection	Recaudación neta
-----------------------------= 95.48%	--------------------- = 95,48%	-----------------------------= 95.48%	-------------------------- = 95,48%
Net recognised collection rights	Drets reconeguts nets	Net recognised collection rights	Derechos reconocidos netos
• Autonomy:	• Autonomia:	• Autonomy:	• Autonomía:
Recognised net collection rights (Chapters 1 and 3, 5, 6, 8 + transfers received)	Drets reconeguts nets (capítols 1 a 3, 5, 6, 8 + transferències rebudes)	Recognised net collection rights (Chapters 1 and 3, 5, 6, 8 + transfers received)	Derechos reconocidos netos (Capítulos 1 a 3, 5, 6, 8+transferencias recibidas)
--------------------------------------------------------------------= 95.21%	----------------------------------------------------------------- = 95,21%	--------------------------------------------------------------------= 95.21%	---------------------------------------------------------------------= 95,21%
All recognised net collection rights	Total drets reconeguts nets	All recognised net collection rights	Total derechos reconocidos netos
• Tax autonomy:	• Autonomia fiscal:	• Tax autonomy:	• Autonomía fiscal:
Recognised net collection rights (Chapter 1 to 3)	Drets reconeguts nets (capítols 1 a 3)	Recognised net collection rights (Chapter 1 to 3)	Derechos reconocidos netos (Capítulos 1 a 3)
--------------------------------------------- = 53.22%	----------------------------------- = 53,22%	--------------------------------------------- = 53.22%	------------------------------------------= 53,22%
All recognised net collection rights	Total drets reconeguts nets	All recognised net collection rights	Total derechos reconocidos netos
• Surplus (deficit) per resident:	• Superàvit (o dèficit per habitant):	• Surplus (deficit) per resident:	• Superávit (o déficit) por habitante:
Adjusted budget result	Resultat pressupostari ajustat	Adjusted budget result	Resultado presupuestario ajustado
---------------------= 17.65 euros	---------------------------- = 17,65 euros	---------------------= 17.65 euros	-------------------------------- = 17,65 euros
Number of residents	Nombre d'habitants	Number of residents	Número de habitantes
For closed budgets:	De pressupostos tancats:	For closed budgets:	De presupuestos cerrados:
• Payments made:	• Realització de pagaments:	• Payments made:	• Realización de pagos:
Payments	Pagaments	Payments	Pagos
--------------------------------------------------------- = 79.52%	----------------------------------------------------= 79,52%	--------------------------------------------------------- = 79.52%	-------------------------------------------------------- = 79,52%
Initial balance for debentures (± amendments and annulments)	Saldo inicial d'obligacions (± modificacions i anul·lacions)	Initial balance for debentures (± amendments and annulments)	Saldo inicial de obligaciones(± modificaciones y anulaciones)
• Collections made:	• Realització de cobraments:	• Collections made:	• Realización de cobros:
Collection	Cobraments	Collection	Cobros
--------------------------------------------------------- = 20.21%	--------------------------------------------- =20,21%	--------------------------------------------------------- = 20.21%	--------------------------------------------------------= 20,21%
Initial balance for debentures (± amendments and annulments)	Saldo inicial drets (± modificacions i anul·lacions)	Initial balance for debentures (± amendments and annulments)	CobrosSaldo inicial derechos (± modificaciones y anulaciones)
26. Information on the costs of activities	26. Informació sobre el cost de les activitats	26. Information on the costs of activities	26. Información sobre el coste de las actividades
